close,datetime,symbol
44.01,2021-06-01 00:00:00,ELET3
44.58,2021-06-01 00:00:00,SLCE3
33.05,2021-06-01 00:00:00,SMTO3
19.87,2021-06-01 00:00:00,LOGN3
42.87,2021-06-01 00:00:00,ELET6
35.68,2021-06-01 00:00:00,HYPE3
16.18,2021-06-01 00:00:00,RECV3
24.85,2021-06-01 00:00:00,CPFE3
41.19,2021-06-01 00:00:00,RRRP3
76.98,2021-06-01 00:00:00,UNIP6
43.02,2021-06-02 00:00:00,ELET6
44.81,2021-06-02 00:00:00,SLCE3
44.17,2021-06-02 00:00:00,ELET3
35.11,2021-06-02 00:00:00,HYPE3
41.4,2021-06-02 00:00:00,RRRP3
33.46,2021-06-02 00:00:00,SMTO3
20.2,2021-06-02 00:00:00,LOGN3
24.84,2021-06-02 00:00:00,CPFE3
16.17,2021-06-02 00:00:00,RECV3
83.64,2021-06-02 00:00:00,UNIP6
16.68,2021-06-04 00:00:00,RECV3
34.74,2021-06-04 00:00:00,HYPE3
19.92,2021-06-04 00:00:00,LOGN3
44.45,2021-06-04 00:00:00,SLCE3
25.12,2021-06-04 00:00:00,CPFE3
33.68,2021-06-04 00:00:00,SMTO3
44.02,2021-06-04 00:00:00,ELET6
84.46,2021-06-04 00:00:00,UNIP6
41.24,2021-06-04 00:00:00,RRRP3
44.77,2021-06-04 00:00:00,ELET3
16.31,2021-06-07 00:00:00,RECV3
45.53,2021-06-07 00:00:00,ELET3
44.41,2021-06-07 00:00:00,ELET6
43.88,2021-06-07 00:00:00,SLCE3
33.52,2021-06-07 00:00:00,SMTO3
19.86,2021-06-07 00:00:00,LOGN3
25.22,2021-06-07 00:00:00,CPFE3
75.81,2021-06-07 00:00:00,UNIP6
35.83,2021-06-07 00:00:00,HYPE3
40.07,2021-06-07 00:00:00,RRRP3
16.05,2021-06-08 00:00:00,RECV3
33.63,2021-06-08 00:00:00,SMTO3
25.02,2021-06-08 00:00:00,CPFE3
71.48,2021-06-08 00:00:00,UNIP6
19.45,2021-06-08 00:00:00,LOGN3
34.7,2021-06-08 00:00:00,HYPE3
40.01,2021-06-08 00:00:00,RRRP3
43.72,2021-06-08 00:00:00,SLCE3
44.4,2021-06-08 00:00:00,ELET3
43.04,2021-06-08 00:00:00,ELET6
72.42,2021-06-09 00:00:00,UNIP6
16.06,2021-06-09 00:00:00,RECV3
44.39,2021-06-09 00:00:00,ELET3
19.42,2021-06-09 00:00:00,LOGN3
43.63,2021-06-09 00:00:00,SLCE3
39.55,2021-06-09 00:00:00,RRRP3
24.47,2021-06-09 00:00:00,CPFE3
35.72,2021-06-09 00:00:00,SMTO3
34.2,2021-06-09 00:00:00,HYPE3
43.09,2021-06-09 00:00:00,ELET6
35.7,2021-06-10 00:00:00,SMTO3
16.6,2021-06-10 00:00:00,RECV3
39.9,2021-06-10 00:00:00,RRRP3
44.49,2021-06-10 00:00:00,ELET3
43.4,2021-06-10 00:00:00,ELET6
19.46,2021-06-10 00:00:00,LOGN3
25.11,2021-06-10 00:00:00,CPFE3
35.19,2021-06-10 00:00:00,HYPE3
44.19,2021-06-10 00:00:00,SLCE3
72.47,2021-06-10 00:00:00,UNIP6
36.69,2021-06-11 00:00:00,SMTO3
24.48,2021-06-11 00:00:00,CPFE3
71.68,2021-06-11 00:00:00,UNIP6
39.64,2021-06-11 00:00:00,RRRP3
43.81,2021-06-11 00:00:00,SLCE3
44.57,2021-06-11 00:00:00,ELET3
16.59,2021-06-11 00:00:00,RECV3
42.89,2021-06-11 00:00:00,ELET6
34.14,2021-06-11 00:00:00,HYPE3
18.99,2021-06-11 00:00:00,LOGN3
35.86,2021-06-14 00:00:00,SMTO3
42.86,2021-06-14 00:00:00,ELET6
17.18,2021-06-14 00:00:00,RECV3
44.49,2021-06-14 00:00:00,ELET3
18.78,2021-06-14 00:00:00,LOGN3
34.31,2021-06-14 00:00:00,HYPE3
43.2,2021-06-14 00:00:00,SLCE3
41.8,2021-06-14 00:00:00,RRRP3
72.87,2021-06-14 00:00:00,UNIP6
24.66,2021-06-14 00:00:00,CPFE3
72.81,2021-06-15 00:00:00,UNIP6
43.29,2021-06-15 00:00:00,ELET6
43.41,2021-06-15 00:00:00,SLCE3
34.35,2021-06-15 00:00:00,HYPE3
17.89,2021-06-15 00:00:00,RECV3
43.81,2021-06-15 00:00:00,ELET3
36.55,2021-06-15 00:00:00,SMTO3
24.57,2021-06-15 00:00:00,CPFE3
18.4,2021-06-15 00:00:00,LOGN3
44.69,2021-06-15 00:00:00,RRRP3
43.17,2021-06-16 00:00:00,SLCE3
71.94,2021-06-16 00:00:00,UNIP6
18.64,2021-06-16 00:00:00,LOGN3
34.87,2021-06-16 00:00:00,HYPE3
35.93,2021-06-16 00:00:00,SMTO3
43,2021-06-16 00:00:00,ELET6
18.4,2021-06-16 00:00:00,RECV3
44.15,2021-06-16 00:00:00,ELET3
45.1,2021-06-16 00:00:00,RRRP3
24.31,2021-06-16 00:00:00,CPFE3
35.65,2021-06-17 00:00:00,SMTO3
24.53,2021-06-17 00:00:00,CPFE3
41.64,2021-06-17 00:00:00,ELET6
34.95,2021-06-17 00:00:00,HYPE3
18.57,2021-06-17 00:00:00,RECV3
42.81,2021-06-17 00:00:00,ELET3
18.47,2021-06-17 00:00:00,LOGN3
41.97,2021-06-17 00:00:00,SLCE3
44.2,2021-06-17 00:00:00,RRRP3
67.15,2021-06-17 00:00:00,UNIP6
18.37,2021-06-18 00:00:00,RECV3
35.17,2021-06-18 00:00:00,HYPE3
71.14,2021-06-18 00:00:00,UNIP6
45.37,2021-06-18 00:00:00,ELET3
24.34,2021-06-18 00:00:00,CPFE3
18.69,2021-06-18 00:00:00,LOGN3
44.11,2021-06-18 00:00:00,ELET6
45.3,2021-06-18 00:00:00,RRRP3
35.34,2021-06-18 00:00:00,SMTO3
41.96,2021-06-18 00:00:00,SLCE3
46.7,2021-06-21 00:00:00,ELET3
45.62,2021-06-21 00:00:00,ELET6
19.16,2021-06-21 00:00:00,RECV3
35.5,2021-06-21 00:00:00,SMTO3
74.03,2021-06-21 00:00:00,UNIP6
48.86,2021-06-21 00:00:00,RRRP3
42.42,2021-06-21 00:00:00,SLCE3
18.54,2021-06-21 00:00:00,LOGN3
35.39,2021-06-21 00:00:00,HYPE3
24.21,2021-06-21 00:00:00,CPFE3
24.01,2021-06-22 00:00:00,CPFE3
42.7,2021-06-22 00:00:00,SLCE3
35.5,2021-06-22 00:00:00,HYPE3
18.33,2021-06-22 00:00:00,LOGN3
35.23,2021-06-22 00:00:00,SMTO3
73.58,2021-06-22 00:00:00,UNIP6
18.82,2021-06-22 00:00:00,RECV3
46.21,2021-06-22 00:00:00,ELET3
48.1,2021-06-22 00:00:00,RRRP3
45.55,2021-06-22 00:00:00,ELET6
45.64,2021-06-23 00:00:00,ELET3
34.99,2021-06-23 00:00:00,SMTO3
23.58,2021-06-23 00:00:00,CPFE3
73.84,2021-06-23 00:00:00,UNIP6
44.48,2021-06-23 00:00:00,ELET6
47.71,2021-06-23 00:00:00,RRRP3
42.33,2021-06-23 00:00:00,SLCE3
18.33,2021-06-23 00:00:00,LOGN3
35.28,2021-06-23 00:00:00,HYPE3
18.81,2021-06-23 00:00:00,RECV3
44.48,2021-06-24 00:00:00,ELET6
46.61,2021-06-24 00:00:00,RRRP3
34.75,2021-06-24 00:00:00,SMTO3
18.82,2021-06-24 00:00:00,LOGN3
35.43,2021-06-24 00:00:00,HYPE3
23.76,2021-06-24 00:00:00,CPFE3
